STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,,PRCP1,months
IN023320100,18-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,19-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,20-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,21-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,23-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,24-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,25-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,26-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,27-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,28-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,29-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,30-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,01-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,02-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,03-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,04-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,05-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,06-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,07-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,08-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,09-07-1901,26.47,80.35,185,"KANPUR, IN",20,",,I",,0,1
IN023320100,10-07-1901,26.47,80.35,185,"KANPUR, IN",178,",,I",,0,1
IN023320100,11-07-1901,26.47,80.35,185,"KANPUR, IN",818,",,I",,0,1
IN023320100,12-07-1901,26.47,80.35,185,"KANPUR, IN",38,",,I",,0,1
IN023320100,13-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,14-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,15-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,16-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,17-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,18-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,19-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,20-07-1901,26.47,80.35,185,"KANPUR, IN",109,",,I",,0,1
IN023320100,21-07-1901,26.47,80.35,185,"KANPUR, IN",76,",,I",,0,1
IN023320100,22-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,23-07-1901,26.47,80.35,185,"KANPUR, IN",56,",,I",,0,1
IN023320100,24-07-1901,26.47,80.35,185,"KANPUR, IN",508,",,I",,0,1
IN023320100,25-07-1901,26.47,80.35,185,"KANPUR, IN",13,",,I",,0,1
IN023320100,26-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,27-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,28-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,29-07-1901,26.47,80.35,185,"KANPUR, IN",76,",,I",,0,1
IN023320100,30-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,31-07-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,01-08-1901,26.47,80.35,185,"KANPUR, IN",183,",,I",,0,1
IN023320100,02-08-1901,26.47,80.35,185,"KANPUR, IN",94,",,I",,0,1
IN023320100,03-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,04-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,05-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,84,1
IN023320100,06-08-1901,26.47,80.35,185,"KANPUR, IN",8,",,I",,0,1
IN023320100,07-08-1901,26.47,80.35,185,"KANPUR, IN",69,",,I",,0,1
IN023320100,08-08-1901,26.47,80.35,185,"KANPUR, IN",368,",,I",,0,1
IN023320100,09-08-1901,26.47,80.35,185,"KANPUR, IN",33,",,I",,0,1
IN023320100,10-08-1901,26.47,80.35,185,"KANPUR, IN",102,",,I",,0,1
IN023320100,11-08-1901,26.47,80.35,185,"KANPUR, IN",89,",,I",,0,1
IN023320100,12-08-1901,26.47,80.35,185,"KANPUR, IN",23,",,I",,0,1
IN023320100,13-08-1901,26.47,80.35,185,"KANPUR, IN",76,",,I",,0,1
IN023320100,14-08-1901,26.47,80.35,185,"KANPUR, IN",58,",,I",,0,1
IN023320100,15-08-1901,26.47,80.35,185,"KANPUR, IN",114,",,I",,0,1
IN023320100,16-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,17-08-1901,26.47,80.35,185,"KANPUR, IN",23,",,I",,0,1
IN023320100,18-08-1901,26.47,80.35,185,"KANPUR, IN",18,",,I",,0,1
IN023320100,19-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,20-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,21-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-08-1901,26.47,80.35,185,"KANPUR, IN",5,",,I",,0,1
IN023320100,23-08-1901,26.47,80.35,185,"KANPUR, IN",117,",,I",,0,1
IN023320100,24-08-1901,26.47,80.35,185,"KANPUR, IN",5,",,I",,0,1
IN023320100,25-08-1901,26.47,80.35,185,"KANPUR, IN",66,",,I",,0,1
IN023320100,26-08-1901,26.47,80.35,185,"KANPUR, IN",381,",,I",,0,1
IN023320100,27-08-1901,26.47,80.35,185,"KANPUR, IN",127,",,I",,0,1
IN023320100,28-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,29-08-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,30-08-1901,26.47,80.35,185,"KANPUR, IN",51,",,I",,0,1
IN023320100,31-08-1901,26.47,80.35,185,"KANPUR, IN",140,",,I",,0,1
IN023320100,01-09-1901,26.47,80.35,185,"KANPUR, IN",51,",,I",,0,1
IN023320100,02-09-1901,26.47,80.35,185,"KANPUR, IN",28,",,I",,0,1
IN023320100,03-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,15,1
IN023320100,04-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,05-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,06-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,07-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,08-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,09-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,10-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,11-09-1901,26.47,80.35,185,"KANPUR, IN",23,",,I",,0,1
IN023320100,12-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,13-09-1901,26.47,80.35,185,"KANPUR, IN",30,",,I",,0,1
IN023320100,14-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,15-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,16-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,17-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,18-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,19-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,20-09-1901,26.47,80.35,185,"KANPUR, IN",203,",,I",,0,1
IN023320100,21-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,23-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,24-09-1901,26.47,80.35,185,"KANPUR, IN",660,",,I",,0,1
IN023320100,25-09-1901,26.47,80.35,185,"KANPUR, IN",640,",,I",,528,1
IN023320100,26-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,69,1
IN023320100,27-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,13,1
IN023320100,28-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,8,1
IN023320100,29-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,30-09-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,01-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,02-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,03-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,04-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,05-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,06-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,07-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,08-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,09-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,10-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,11-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,12-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,13-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,14-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,15-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,16-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,17-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,18-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,19-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,20-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,21-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,23-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,24-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,25,1
